IsApple,name,Presumed Name,Use Name,possible wrong is apple,dups in name,,
TRUE,blake,blake,blake,,FALSE,,
TRUE,blake sweet,,blake sweet,,FALSE,,
TRUE,blemans orange,blenheim orange,blenheim orange,,FALSE,,
TRUE,blenden pippin,blenheim orange,blenheim orange,,FALSE,,
TRUE,blk oxford,black oxford,black oxford,,FALSE,,
TRUE,blood pippin,,blood pippin,,FALSE,,
TRUE,blood sweet,,blood sweet,,FALSE,,
TRUE,bloodstone pippin,ribston pippin,ribston pippin,,FALSE,,
TRUE,bloom,bloom,bloom,,FALSE,,
TRUE,bloomfield,bloomfield,bloomfield,,FALSE,,
TRUE,bloomfield porter,,bloomfield porter,,FALSE,,
TRUE,bloomfield's long stem sweet,,bloomfield's long stem sweet,,FALSE,,
TRUE,blue bell,,blue bell,,FALSE,,
TRUE,blue crab,,blue crab,,FALSE,,
TRUE,blue mountain,blue mountain,blue mountain,,FALSE,,
TRUE,blue norman,,blue norman,,FALSE,,
TRUE,blue oxford,black oxford,black oxford,,FALSE,,
TRUE,blue pairmain,blue pearmain,blue pearman,,FALSE,,
TRUE,blue paumaid,blue pearmain,blue pearman,,FALSE,,
TRUE,blue pear,blue pearmain,blue pearman,,FALSE,,
TRUE,blue pear main,blue pearmain,blue pearman,,FALSE,,
TRUE,blue pear maine,blue pearmain,blue pearman,,FALSE,,
TRUE,blue pearmaide,blue pearmain,blue pearman,,FALSE,,
TRUE,blue pearmain,blue pearmain,blue pearmain,,TRUE,,
TRUE,blue pearmaine,blue pearmain,blue pearman,,FALSE,,
TRUE,blue pomane,blue pearmain,blue pearman,,FALSE,,
TRUE,bluepearmain,blue pearmain,blue pearman,,FALSE,,
TRUE,blush,,maiden blush,,FALSE,,
TRUE,blushing beauty,,blushing beauty,,FALSE,,
TRUE,boardman,boardman,boardman,,FALSE,,
TRUE,boiken,boiken,boiken,,FALSE,,
FALSE,boise,idaho,idaho,,FALSE,,
FALSE,bonchreteen fondante,bon chretien fondant,bon chretien fondant,,FALSE,,
FALSE,bonne d'jersey,louise bonne de jersey,louise bonne de jersey,,FALSE,,
FALSE,bonne de jersey,louise bonne de jersey,louise bonne de jersey,,FALSE,,
FALSE,bonney de jersey,louise bonne de jersey,louise bonne de jersey,,FALSE,,
